# tpnsfand compatibility report
# date:          2026-07-20T08:49:04+04:00
# product:       ThinkPad L13 Gen 2 / 20VH0017RT 
# bios:          R1FET59W (LNV3: R1F)
# kernel:        7.1.3
# distro:        NixOS 26.11 (Zokor)
# write_support: N
# lockdown:      n/a
# secure_boot:   
# ibm_fan:       status:		enabled speed:		1927 level:		auto commands:	level <level> (<level> is 0-7, auto, disengaged, full-speed) commands:	enable, disable commands:	watchdog <timeout> (<timeout> is 0 (off), 1-120 (seconds)) 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon5/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon0/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
08:51:29 stress    4  163  159   3091   54    30
08:51:30 stress    4  163  159   3091   54    30
08:51:31 stress    4  163  158   3110   54    30
08:51:32 stress    4  163  158   3110   54    30
08:51:33 stress    4  163  158   3110   54    30
08:51:34 stress    4  163  158   3110   54    30
08:51:36 stress    4  163  158   3110   54    30
08:51:37 stress    4  163  158   3110   51    30
08:51:38 stress    4  163  159   3091   47    31
08:51:39 stress    4  163  158   3110   47    30
08:51:40 stress    4  163  158   3110   46    31
08:51:41 stress    4  163  158   3110   46    31
08:51:42 stress    4  163  158   3110   45    30
08:51:43 stress    4  163  158   3110   46    31
08:51:44 stress    4  163  158   3110   46    31
08:51:45 stress    4  163  158   3110   45    31
08:51:46 stress    4  163  158   3110   45    30
08:51:47 stress    4  163  158   3110   45    31
08:51:49 stress    4  163  158   3110   45    31
08:51:50 stress    4  163  158   3110   44    31
08:51:51 stress    4  163  158   3110   44    31
08:51:52 stress    4  163  158   3110   44    31
08:51:53 idle      4  163  158   3110   43    31
08:51:54 idle      4  163  158   3110   43    31
08:51:55 idle      4  163  158   3110   43    31
08:51:56 idle      4  163  158   3110   43    31
08:51:57 idle      4  163  158   3110   43    31
08:51:58 idle      4  163  158   3110   42    31
08:51:59 idle      4  163  158   3110   42    31
08:52:00 idle      4  163  158   3110   42    31
08:52:02 idle      4  163  158   3110   42    31
08:52:03 idle      4  163  158   3110   42    31
08:52:04 idle      4  163  158   3110   42    31
08:52:05 idle      4  163  158   3110   42    31
08:52:06 idle      4  163  158   3110   42    31
08:52:07 idle      4  163  158   3110   42    31
08:52:08 idle      4  163  158   3110   42    31
08:52:09 idle      4  163  158   3110   41    31
08:52:10 idle      4  163  158   3110   40    31
08:52:11 idle      4  163  158   3110   41    31
08:52:12 idle      4  163  158   3110   41    31
08:52:13 idle      4  163  159   3091   41    31
08:52:14 idle      4  163  158   3110   41    31
08:52:15 idle      4  163  158   3110   41    31
08:52:17 idle      4  163  159   3091   41    31
08:52:18 idle      4  163  159   3091   40    31
08:52:19 idle      4  163  159   3091   41    31
08:52:20 idle      4  163  159   3091   41    31
08:52:21 idle      4  163  159   3091   40    31
08:52:22 idle      4  163  159   3091   40    31
08:52:23 idle      4  163  159   3091   40    31
08:52:24 idle      4  163  159   3091   40    31
