# tpnsfand compatibility report
# date:          2026-06-22T16:12:55+02:00
# product:        / 
# bios:          N2UET74W (1.54 ) (LNV3: N2U)
# kernel:        7.0.12-arch1-1
# distro:        Arch Linux
# write_support: N
# lockdown:      [none] integrity confidentiality
# secure_boot:   
# ibm_fan:       status:		enabled speed:		1927 level:		auto 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon7/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon4/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
16:15:22 stress    4  126  124   3963   75    37
16:15:23 stress    4  126  124   3963   75    37
16:15:24 stress    4  126  124   3963   75    37
16:15:25 stress    4  126  123   3996   76    37
16:15:26 stress    4  114  123   3996   71    37
16:15:27 stress    4  114  120   4096   72    37
16:15:28 stress    4  114  117   4201   78    37
16:15:29 stress    4  114  113   4349   77    37
16:15:30 stress    4  114  113   4349   80    37
16:15:31 stress    4  114  112   4388   80    37
16:15:32 stress    4  114  112   4388   76    37
16:15:34 stress    4  114  113   4349   79    37
16:15:35 stress    4  114  113   4349   77    37
16:15:36 stress    4  114  113   4349   79    37
16:15:37 stress    4  114  113   4349   77    37
16:15:38 stress    4  114  113   4349   78    37
16:15:39 stress    4  114  113   4349   80    37
16:15:40 stress    4  114  112   4388   80    37
16:15:41 idle      4  114  112   4388   82    37
16:15:42 idle      4  114  112   4388   88    37
16:15:43 idle      4  114  113   4349   82    37
16:15:44 idle      4  114  113   4349   80    37
16:15:45 idle      4  114  112   4388   81    37
16:15:46 idle      4  114  112   4388   81    37
16:15:47 idle      4  114  112   4388   84    37
16:15:48 idle      4  114  113   4349   77    37
16:15:49 idle      4  114  113   4349   78    37
16:15:50 idle      4  114  113   4349   80    37
16:15:51 idle      4  114  112   4388   78    37
16:15:52 idle      4  114  112   4388   80    37
16:15:53 idle      4  114  113   4349   79    37
16:15:54 idle      4  114  113   4349   80    37
16:15:55 idle      4  114  112   4388   80    37
16:15:56 idle      4  114  112   4388   78    37
16:15:57 idle      4  114  112   4388   79    37
16:15:58 idle      4  114  113   4349   80    37
16:15:59 idle      4  114  112   4388   78    37
16:16:00 idle      4  114  112   4388   77    37
16:16:01 idle      4  114  112   4388   78    37
16:16:02 idle      4  114  112   4388   78    37
16:16:03 idle      4  114  112   4388   84    37
16:16:04 idle      4  114  112   4388   77    37
16:16:05 idle      4  114  112   4388   78    37
16:16:06 idle      4  114  112   4388   79    37
16:16:07 idle      4  114  112   4388   78    37
16:16:09 idle      4  114  112   4388   87    37
16:16:10 idle      4  114  112   4388   79    37
16:16:11 idle      4  114  112   4388   81    37
