# tpnsfand compatibility report
# date:          2026-06-23T10:01:13+02:00
# product:       ThinkPad X13 Yoga Gen 1 / 20SYS3VH00
# bios:          N2UET78W (1.58 ) (LNV3: N2U)
# kernel:        7.0.10+deb13-amd64
# distro:        Debian GNU/Linux 13 (trixie)
# write_support: Y
# lockdown:      [none] integrity confidentiality
# secure_boot:   SecureBoot disabled
# ibm_fan:       status:		enabled speed:		3668 level:		auto commands:	level <level> (<level> is 0-7, auto, disengaged, full-speed) commands:	enable, disable commands:	watchdog <timeout> (<timeout> is 0 (off), 1-120 (seconds)) 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon8/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon2/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
10:03:37 stress    4  111  109   4509   80    27
10:03:38 stress    4  111  109   4509   80    27
10:03:39 stress    4  111  109   4509   80    27
10:03:41 stress    4  111  109   4509   79    28
10:03:42 stress    4  111  109   4509   80    27
10:03:43 stress    4  111  109   4509   79    27
10:03:44 stress    4  111  109   4509   80    27
10:03:45 stress    4  111  109   4509   71    27
10:03:46 stress    4  111  109   4509   69    28
10:03:47 stress    4  111  109   4509   67    27
10:03:48 stress    4  111  109   4509   66    28
10:03:49 stress    4  111  109   4509   66    28
10:03:50 stress    4  111  109   4509   64    27
10:03:51 stress    4  111  109   4509   64    27
10:03:52 stress    4  111  109   4509   63    28
10:03:53 stress    4  111  109   4509   62    28
10:03:55 stress    4  111  109   4509   62    27
10:03:56 stress    4  111  109   4509   62    28
10:03:57 stress    4  111  109   4509   61    28
10:03:58 stress    4  111  109   4509   61    27
10:03:59 stress    4  111  109   4509   60    28
10:04:00 stress    4  111  109   4509   60    28
10:04:01 stress    4  111  109   4509   59    27
10:04:02 idle      4  111  109   4509   58    27
10:04:03 idle      4  111  109   4509   58    27
10:04:04 idle      4  111  109   4509   58    28
10:04:05 idle      4  111  109   4509   57    28
10:04:06 idle      4  111  109   4509   57    28
10:04:07 idle      4  111  109   4509   57    27
10:04:08 idle      4  111  109   4509   56    27
10:04:09 idle      4  111  109   4509   56    27
10:04:10 idle      4  111  109   4509   56    27
10:04:11 idle      4  111  109   4509   56    28
10:04:12 idle      4  111  109   4509   55    27
10:04:13 idle      4  111  109   4509   55    28
10:04:14 idle      4  111  109   4509   55    28
10:04:15 idle      4  111  109   4509   55    28
10:04:16 idle      4  111  109   4509   55    28
10:04:17 idle      4  111  109   4509   54    28
10:04:19 idle      4  111  109   4509   54    28
10:04:20 idle      4  111  109   4509   54    28
10:04:21 idle      4  111  109   4509   54    28
10:04:22 idle      4  111  109   4509   54    28
10:04:23 idle      4  111  109   4509   54    27
10:04:24 idle      4  111  109   4509   53    28
10:04:25 idle      4  111  109   4509   53    28
10:04:26 idle      4  111  109   4509   53    27
10:04:27 idle      4  111  109   4509   53    27
10:04:28 idle      4  111  109   4509   53    27
10:04:29 idle      4  111  109   4509   53    27
10:04:30 idle      4  111  109   4509   52    28
10:04:31 idle      4  111  109   4509   52    28
10:04:32 idle      4  111  109   4509   52    28
