# tpnsfand compatibility report
# date:          2026-06-22T12:12:52+02:00
# product:       ThinkPad L13 Yoga Gen 2 / 20VK0014GE
# bios:          R1FET64W (1.38 ) (LNV3: R1F)
# kernel:        7.0.12+deb14.1-amd64
# distro:        Debian GNU/Linux forky/sid
# write_support: Y
# lockdown:      [none] integrity confidentiality
# secure_boot:   SecureBoot disabled
# ibm_fan:       status:		enabled speed:		4636 level:		auto 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon8/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon2/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
12:15:14 stress    4   94   93   5285   91    47
12:15:16 stress    4   94   93   5285   89    47
12:15:17 stress    4   94   93   5285   89    47
12:15:18 stress    4   94   93   5285   90    47
12:15:19 stress    4   94   93   5285   90    47
12:15:20 stress    4   94   93   5285   90    47
12:15:21 stress    4   94   93   5285   90    47
12:15:22 stress    4   94   93   5285   89    47
12:15:23 stress    4   94   93   5285   78    47
12:15:24 stress    4   94   93   5285   75    47
12:15:25 stress    4   94   93   5285   74    47
12:15:26 stress    4   94   93   5285   75    47
12:15:27 stress    4   94   92   5342   73    47
12:15:28 stress    4   94   93   5285   73    47
12:15:29 stress    4   94   93   5285   72    47
12:15:30 stress    4   94   92   5342   70    47
12:15:31 stress    4   94   93   5285   71    47
12:15:32 stress    4   94   93   5285   70    47
12:15:34 stress    4   94   93   5285   68    47
12:15:35 stress    4   94   93   5285   69    47
12:15:36 idle      4   94   93   5285   68    47
12:15:37 idle      4   94   93   5285   67    47
12:15:38 idle      4   94   93   5285   67    47
12:15:39 idle      4   94   93   5285   66    47
12:15:40 idle      4   94   93   5285   65    47
12:15:41 idle      4   94   93   5285   67    47
12:15:42 idle      4   94   93   5285   65    47
12:15:43 idle      4   94   93   5285   65    47
12:15:44 idle      4   94   93   5285   64    47
12:15:45 idle      4   94   92   5342   63    47
12:15:46 idle      4   94   93   5285   64    47
12:15:47 idle      4   94   93   5285   63    47
12:15:48 idle      4   94   93   5285   62    47
12:15:49 idle      4   94   93   5285   63    47
12:15:50 idle      4   94   93   5285   61    47
12:15:51 idle      4   94   93   5285   61    47
12:15:52 idle      4   94   93   5285   61    47
12:15:53 idle      4   94   93   5285   61    47
12:15:54 idle      4   94   93   5285   62    47
12:15:55 idle      4   94   93   5285   62    47
12:15:56 idle      4   94   93   5285   61    47
12:15:57 idle      4   94   93   5285   61    47
12:15:58 idle      4   94   93   5285   61    47
12:15:59 idle      4   94   93   5285   61    47
12:16:00 idle      4   94   93   5285   61    47
12:16:01 idle      4   94   93   5285   60    47
12:16:02 idle      4   94   93   5285   60    47
12:16:03 idle      4   94   93   5285   60    47
12:16:04 idle      4   94   93   5285   61    47
12:16:05 idle      4   94   92   5342   61    47
